檔名,編號,稀有度,卡名,台詞,類型,動作/畫面,描述,標籤,基礎效果
card_001.png,card_001,N,疑惑問號,？？？,情緒卡／台詞卡,皺眉歪頭，周圍浮現問號,面對難懂問題時的萬用反應，裝傻界的基本功。,搞笑／裝傻／低風險／補救,好感 +2／尷尬 -2／搞笑 +6
card_002.png,card_002,N,不急,不急。,台詞卡／動作卡,雙手交叉，露出微笑，自信但欠揍,無論場面多失控，都能假裝一切在掌握之中。,自信／搞笑／低風險,好感 +2／尷尬 -2／搞笑 +5／自信 +8
card_003.png,card_003,N,我還沒上車啊,我還沒上車啊！,台詞卡／動作卡,張開雙手崩潰大喊,當世界拋下你的時候，至少喊得夠大聲。,搞笑／社死／補救,好感 +2／搞笑 +10／社死 +6
card_004.png,card_004,N,還有嗎？,還有嗎？,台詞卡／食物卡,端著紅豆湯圓，眼神真誠,對食物的執著，偶爾會誤打誤撞變成真誠。,食物／搞笑／裝可愛／低風險,好感 +3／搞笑 +5／食慾 +8
card_006.png,card_006,N,蛤？,蛤？,台詞卡／情緒卡,嘴巴微張，眼神空白,宇宙通用的萬能回應，聽不懂的時候特別好用。,搞笑／裝傻／低風險／補救,好感 +1／尷尬 +1／搞笑 +5
card_007.png,card_007,R,傻眼白貓,喵？,變身卡,變成白貓身體，臉保留 Gumayuwei 五官,裝傻、賣萌、逃避質問三合一，貓咪什麼都不知道。,裝可愛／布偶／搞笑／補救,好感 +5／尷尬 -3／搞笑 +6
card_008.png,card_008,R,臭臭泥,我融化了。,變身卡,化成一攤紫色泥怪，表情厭世,社交電量歸零的物理表現，融化但誠實。,搞笑／裝可憐／補救,好感 +2／尷尬 +2／搞笑 +8
card_011.png,card_011,R,Tom 貓布偶裝,不急。,變身卡／動作卡,穿上 Tom 貓布偶裝，雙手交叉裝鎮定,用布偶裝把尷尬包成喜劇，缺點是很熱。,布偶／裝可愛／搞笑／自信,好感 +4／尷尬 -1／搞笑 +9／自信 +6／社死 +1
card_012.png,card_012,R,Jerry 鼠布偶裝,急了。,變身卡／台詞卡,穿上 Jerry 鼠布偶裝，露出勝利小表情,看似可愛，實際上是欠揍型反擊。,布偶／裝可愛／搞笑／挑釁,好感 +2／尷尬 +2／搞笑 +9／自信 +4／社死 +2
card_013.png,card_013,R,紅色植物人,又是我？,變身卡,變成紅色小植物，頭頂冒出一片葉子,被叫去跑腿時的植物系防禦姿態。,裝可愛／搞笑／補救／低風險,好感 +3／尷尬 -1／搞笑 +7／真誠 +1
card_009.png,card_009,SR,怎麼跟我鬥,怎麼跟我鬥。,台詞卡／自信卡,黑西裝墨鏡，霸氣姿態,高風險高回報的霸總卡，用對場合是氣場，用錯場合是災難。,自信／霸總／高風險／挑釁,尷尬 +4／搞笑 +6／自信 +12／社死 +2／戰鬥 +2
card_010.png,card_010,SR,計畫通り,計畫通り。,台詞卡／智謀卡,邪魅一笑，彷彿一切都在掌握之中,預判成功時的勝利宣言，就算沒有計畫也要講。,自信／智力／搞笑,好感 +2／尷尬 +1／搞笑 +6／自信 +8
